epoch,step,test_loss,train_loss,val_loss
0,6,,,9874.30078125
0,6,,10753.7685546875,
1,13,,,9703.5341796875
1,13,,10176.3974609375,
2,20,,,9539.7890625
2,20,,10017.4833984375,
3,27,,,9371.3037109375
3,27,,9845.0849609375,
4,34,,,9197.294921875
4,34,,9668.892578125,
5,41,,,9014.681640625
5,41,,9488.94140625,
6,48,,,8827.5576171875
6,48,,9299.5009765625,
7,55,,,8636.107421875
7,55,,9100.8330078125,
8,62,,,8437.673828125
8,62,,8904.189453125,
9,69,,,8234.603515625
9,69,,8698.2998046875,
10,76,,,8025.61865234375
10,76,,8491.7373046875,
11,83,,,7814.54833984375
11,83,,8273.962890625,
12,90,,,7598.19140625
12,90,,8057.65673828125,
13,97,,,7380.74560546875
13,97,,7836.65576171875,
14,104,,,7162.1484375
14,104,,7609.9580078125,
15,111,,,6942.27099609375
15,111,,7383.2744140625,
16,118,,,6721.56005859375
16,118,,7159.35595703125,
17,125,,,6502.947265625
17,125,,6927.30615234375,
18,132,,,6282.1484375
18,132,,6706.6953125,
19,139,,,6064.29541015625
19,139,,6480.16748046875,
20,146,,,5851.83740234375
20,146,,6252.1748046875,
21,153,,,5641.04150390625
21,153,,6031.9501953125,
22,160,,,5430.90234375
22,160,,5815.6162109375,
23,167,,,5225.1455078125
23,167,,5601.22900390625,
24,174,,,5022.73193359375
24,174,,5393.3505859375,
25,181,,,4829.64013671875
25,181,,5178.83203125,
26,188,,,4638.17578125
26,188,,4982.017578125,
27,195,,,4454.72412109375
27,195,,4783.9306640625,
28,202,,,4277.8759765625
28,202,,4595.48486328125,
29,209,,,4107.23876953125
29,209,,4414.7958984375,
30,216,,,3944.813720703125
30,216,,4234.4638671875,
31,223,,,3786.893310546875
31,223,,4068.662109375,
32,230,,,3637.1064453125
32,230,,3905.650634765625,
33,237,,,3497.746826171875
33,237,,3745.918212890625,
34,244,,,3362.009033203125
34,244,,3601.47265625,
35,251,,,3233.688720703125
35,251,,3461.785400390625,
36,258,,,3114.317138671875
36,258,,3323.0849609375,
37,265,,,2998.972412109375
37,265,,3205.02197265625,
38,272,,,2892.494873046875
38,272,,3085.37841796875,
39,279,,,2792.799560546875
39,279,,2973.841796875,
40,286,,,2700.448974609375
40,286,,2866.751953125,
41,293,,,2577.79052734375
41,293,,2762.986083984375,
42,300,,,2451.12060546875
42,300,,2640.169677734375,
43,307,,,2349.759765625
43,307,,2535.7529296875,
44,314,,,2252.6865234375
44,314,,2407.83203125,
45,321,,,2170.79150390625
45,321,,2310.893798828125,
46,328,,,2075.0380859375
46,328,,2223.183837890625,
47,335,,,2000.2054443359375
47,335,,2126.87744140625,
48,342,,,1908.9898681640625
48,342,,2037.1007080078125,
49,349,,,1841.6636962890625
49,349,,1956.611083984375,
50,356,,,1772.6961669921875
50,356,,1887.016845703125,
51,363,,,1660.9033203125
51,363,,1811.38232421875,
52,370,,,1578.2711181640625
52,370,,1730.366455078125,
53,377,,,1553.9896240234375
53,377,,1676.369873046875,
54,384,,,1494.6865234375
54,384,,1632.0115966796875,
55,391,,,1481.1910400390625
55,391,,1597.35498046875,
56,398,,,1441.30712890625
56,398,,1499.6798095703125,
57,405,,,1310.1693115234375
57,405,,1478.7406005859375,
58,412,,,1250.8408203125
58,412,,1420.8499755859375,
59,419,,,1211.3955078125
59,419,,1388.3642578125,
60,426,,,1260.55029296875
60,426,,1332.1290283203125,
61,433,,,1251.7933349609375
61,433,,1296.5205078125,
62,440,,,1225.113037109375
62,440,,1272.4334716796875,
63,447,,,1206.768798828125
63,447,,1240.446533203125,
64,454,,,1042.06005859375
64,454,,1223.076171875,
65,461,,,1023.4495239257812
65,461,,1208.1689453125,
66,468,,,995.4002075195312
66,468,,1174.657470703125,
67,475,,,1003.0556640625
67,475,,1197.1339111328125,
68,482,,,1140.1512451171875
68,482,,1166.5716552734375,
69,489,,,1100.991943359375
69,489,,1128.962158203125,
70,496,,,1090.3763427734375
70,496,,1115.0433349609375,
71,503,,,1081.7835693359375
71,503,,1085.2752685546875,
72,510,,,1066.635498046875
72,510,,1089.060302734375,
73,517,,,1041.5478515625
73,517,,1077.0565185546875,
74,524,,,961.9259643554688
74,524,,1062.5174560546875,
75,531,,,881.4701538085938
75,531,,1050.31396484375,
76,538,,,846.432373046875
76,538,,1063.8187255859375,
77,545,,,838.6535034179688
77,545,,1036.224365234375,
78,552,,,833.445556640625
78,552,,1043.2889404296875,
79,559,,,828.96728515625
79,559,,1028.3883056640625,
80,566,,,851.0441284179688
80,566,,1022.0516967773438,
81,573,,,881.5778198242188
81,573,,1038.13623046875,
82,580,,,825.7952270507812
82,580,,1021.8041381835938,
83,587,,,830.9738159179688
83,587,,1022.5863647460938,
84,594,,,822.1574096679688
84,594,,1009.3862915039062,
85,601,,,821.4076538085938
85,601,,1006.0355834960938,
86,608,,,849.8469848632812
86,608,,995.721435546875,
87,615,,,846.2421875
87,615,,989.43896484375,
88,622,,,870.6974487304688
88,622,,989.2098388671875,
89,629,,,835.54052734375
89,629,,981.0651245117188,
90,636,,,848.9406127929688
90,636,,973.6669921875,
91,643,,,860.3811645507812
91,643,,971.7794189453125,
92,650,,,890.6461791992188
92,650,,956.2422485351562,
93,657,,,831.5140991210938
93,657,,956.3602905273438,
94,664,,,881.7556762695312
94,664,,970.9873657226562,
95,671,,,852.4962768554688
95,671,,927.881591796875,
96,672,nan,,
